date,symbol,title,description,source,cleaned_title,cleaned_description
2023-01-02,GOLD,"Gold price today: 10 grams of 24-carat traded at Rs 55,040; silver at Rs 71,300 per kilo","MCX data shows that gold futures increased 0.19 per cent to Rs 55,120.00. Silver futures also witnessed a rise of 0.28 per cent to Rs 69,610.00",Firstpost,"gold price today 10 grams of 24-carat traded at rs 55,040 silver at rs 71,300 per kilo","mcx data shows that gold futures increased 0.19 per cent to rs 55,120.00. silver futures also witnessed a rise of 0.28 per cent to rs 69,610.00"
2023-01-02,GOLD,Gold prices in India today jump to highest in over 2 years,"Silver rates also remained firm and traded above ₹70,000 per kg in futures market",Livemint,gold prices in india today jump to highest in over 2 years,"silver rates also remained firm and traded above 70,000 per kg in futures market"
2023-01-03,GOLD,The close: Wall Street starts the year with a dip as Apple and Tesla shares drag; TSX edges up,Toronto market supported by rise in gold prices even as energy sector dives,The Globe and Mail,the close wall street starts the year with a dip as apple and tesla shares drag tsx edges up,toronto market supported by rise in gold prices even as energy sector dives
2023-01-03,GOLD,Stock Market Bulls Trapped In Reversal To Start 2023; Tesla Plummets 10%; Gold Breakout Run?,"Stock market indexes gave up early gains on the first trading day of 2023, while Tesla fell after missing delivery estimates. Gold rallied.",Investor's Business Daily,stock market bulls trapped in reversal to start 2023 tesla plummets 10% gold breakout run,"stock market indexes gave up early gains on the first trading day of 2023, while tesla fell after missing delivery estimates. gold rallied."
2023-01-03,GOLD,Steep discount in domestic spot gold to bank rate raises eyebrows,Spot gold prices in the domestic market have been trading at a steep discount to the metal’s bank rate for an extended period,Livemint,steep discount in domestic spot gold to bank rate raises eyebrows,spot gold prices in the domestic market have been trading at a steep discount to the metal s bank rate for an extended period
2023-01-03,GOLD,Realme lists its Pad Slim on Flipkart: What to expect,"The listing of Realme Pad Slim on Flipkart also suggests that only LTE voice calling models of the device will be available for customers in India. This upcoming tablet will come in two colour options which are Grey and Gold. The customers will be able to purchase the tablet at an expected price of ₹32,999 after it is launched.",Livemint,realme lists its pad slim on flipkart what to expect,"the listing of realme pad slim on flipkart also suggests that only lte voice calling models of the device will be available for customers in india. this upcoming tablet will come in two colour options which are grey and gold. the customers will be able to purchase the tablet at an expected price of 32,999 after it is launched."
2023-01-03,GOLD,"Gold surges to 6-month high, and analysts expect new records in 2023","The price of gold notched a six-month high early on Tuesday, and analysts believe the rally has further to go in 2023.",CNBC,"gold surges to 6-month high, and analysts expect new records in 2023","the price of gold notched a six-month high early on tuesday, and analysts believe the rally has further to go in 2023."
2023-01-03,GOLD,Gold Rate In Pakistan,"Gold Rate In Pakistan on 3 January is being sold for Rs. 157407 per 10 grams, and the price of Gold is Rs. 183600 per tola in Pakistan ...",Daily Times,gold rate in pakistan,"gold rate in pakistan on 3 january is being sold for rs. 157407 per 10 grams, and the price of gold is rs. 183600 per tola in pakistan ..."
2023-01-03,GOLD,"Gold price today: 10 grams of 24-carat rises to Rs 55,580; silver at Rs 72,000 per kilo","Multi Commodity Exchange data indicates that gold futures rose 0.84 per cent to Rs 55,640.00. Silver futures soared 1.66 per cent to Rs 70,723.00",Firstpost,"gold price today 10 grams of 24-carat rises to rs 55,580 silver at rs 72,000 per kilo","multi commodity exchange data indicates that gold futures rose 0.84 per cent to rs 55,640.00. silver futures soared 1.66 per cent to rs 70,723.00"
2023-01-04,GOLD,Stock Market Whipsaws Bulls And Bears; Job Openings Rise; Microsoft Dumps After Downgrade,The stock market reversed after job openings came in higher than anticipated. Gold miner stock rallies as the yellow metal gains strength.,Investor's Business Daily,stock market whipsaws bulls and bears job openings rise microsoft dumps after downgrade,the stock market reversed after job openings came in higher than anticipated. gold miner stock rallies as the yellow metal gains strength.
2023-01-04,GOLD,Natural-Gas Prices Plunge as Unseasonably Warm Weather Is Forecast -- Commodities Roundup,co MARKET MOVEMENTS: - Brent crude oil fell 3.4% to $79.31 a barrel. - European benchmark gas fell 4.6% to EUR 68.96 a megawatt-hour. - Gold futures are up...,MarketWatch,natural-gas prices plunge as unseasonably warm weather is forecast -- commodities roundup,co market movements - brent crude oil fell 3.4% to $79.31 a barrel. - european benchmark gas fell 4.6% to eur 68.96 a megawatt-hour. - gold futures are up...
